match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,Player points + assists + rebounds - Santi Aldama 20+ (Match),Memphis Grizzlies,19.5,1.27,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,Player points + assists + rebounds - Santi Aldama 25+ (Match),Memphis Grizzlies,24.5,1.91,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,Player points + assists + rebounds - Santi Aldama 30+ (Match),Memphis Grizzlies,29.5,3.7,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,Player points + assists + rebounds - Santi Aldama 35+ (Match),Memphis Grizzlies,34.5,8.5,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,Player points + assists + rebounds - D. Bane 25+ (Match),Memphis Grizzlies,24.5,1.13,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,Player points + assists + rebounds - D. Bane 30+ (Match),Memphis Grizzlies,29.5,1.43,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,Player points + assists + rebounds - D. Bane 35+ (Match),Memphis Grizzlies,34.5,2.15,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,Player points + assists + rebounds - D. Bane 40+ (Match),Memphis Grizzlies,39.5,3.8,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,Player points + assists + rebounds - D. Bane 45+ (Match),Memphis Grizzlies,44.5,8,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,Player points + assists + rebounds - Jaren Jackson Jr 25+ (Match),Memphis Grizzlies,24.5,1.07,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,Player points + assists + rebounds - Jaren Jackson Jr 30+ (Match),Memphis Grizzlies,29.5,1.29,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,Player points + assists + rebounds - Jaren Jackson Jr 35+ (Match),Memphis Grizzlies,34.5,1.8,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,Player points + assists + rebounds - Jaren Jackson Jr 40+ (Match),Memphis Grizzlies,39.5,3.1,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,Player points + assists + rebounds - Jaren Jackson Jr 45+ (Match),Memphis Grizzlies,44.5,6,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Ja Morant,Player points + assists + rebounds - J. Morant 25+ (Match),Memphis Grizzlies,24.5,1.06,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Ja Morant,Player points + assists + rebounds - J. Morant 30+ (Match),Memphis Grizzlies,29.5,1.22,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Ja Morant,Player points + assists + rebounds - J. Morant 35+ (Match),Memphis Grizzlies,34.5,1.65,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Ja Morant,Player points + assists + rebounds - J. Morant 40+ (Match),Memphis Grizzlies,39.5,2.65,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Ja Morant,Player points + assists + rebounds - J. Morant 45+ (Match),Memphis Grizzlies,44.5,5,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,De'Aaron Fox,Player points + assists + rebounds - D. Fox 25+ (Match),San Antonio Spurs,24.5,1.1,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,De'Aaron Fox,Player points + assists + rebounds - D. Fox 30+ (Match),San Antonio Spurs,29.5,1.36,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,De'Aaron Fox,Player points + assists + rebounds - D. Fox 35+ (Match),San Antonio Spurs,34.5,2,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,De'Aaron Fox,Player points + assists + rebounds - D. Fox 40+ (Match),San Antonio Spurs,39.5,3.5,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,De'Aaron Fox,Player points + assists + rebounds - D. Fox 45+ (Match),San Antonio Spurs,44.5,7,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,Player points + assists + rebounds - K. Johnson 15+ (Match),Miami Heat,14.5,1.17,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keon Johnson,Player points + assists + rebounds - K. Johnson 15+ (Match),Brooklyn Nets,14.5,1.17,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keldon Johnson,Player points + assists + rebounds - K. Johnson 15+ (Match),San Antonio Spurs,14.5,1.17,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,Player points + assists + rebounds - K. Johnson 20+ (Match),Miami Heat,19.5,1.74,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keon Johnson,Player points + assists + rebounds - K. Johnson 20+ (Match),Brooklyn Nets,19.5,1.74,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keldon Johnson,Player points + assists + rebounds - K. Johnson 20+ (Match),San Antonio Spurs,19.5,1.74,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,Player points + assists + rebounds - K. Johnson 25+ (Match),Miami Heat,24.5,3.5,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keon Johnson,Player points + assists + rebounds - K. Johnson 25+ (Match),Brooklyn Nets,24.5,3.5,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keldon Johnson,Player points + assists + rebounds - K. Johnson 25+ (Match),San Antonio Spurs,24.5,3.5,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,Player points + assists + rebounds - K. Johnson 30+ (Match),Miami Heat,29.5,8.5,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keon Johnson,Player points + assists + rebounds - K. Johnson 30+ (Match),Brooklyn Nets,29.5,8.5,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keldon Johnson,Player points + assists + rebounds - K. Johnson 30+ (Match),San Antonio Spurs,29.5,8.5,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jeremy Sochan,Player points + assists + rebounds - Jeremy Sochan 14+ (Match),San Antonio Spurs,13.5,1.2,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jeremy Sochan,Player points + assists + rebounds - Jeremy Sochan 16+ (Match),San Antonio Spurs,15.5,1.4,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jeremy Sochan,Player points + assists + rebounds - Jeremy Sochan 18+ (Match),San Antonio Spurs,17.5,1.74,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jeremy Sochan,Player points + assists + rebounds - Jeremy Sochan 20+ (Match),San Antonio Spurs,19.5,2.3,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jeremy Sochan,Player points + assists + rebounds - Jeremy Sochan 22+ (Match),San Antonio Spurs,21.5,3.2,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Harrison Barnes,Player points + assists + rebounds - H. Barnes 14+ (Match),San Antonio Spurs,13.5,1.31,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Harrison Barnes,Player points + assists + rebounds - H. Barnes 16+ (Match),San Antonio Spurs,15.5,1.56,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Harrison Barnes,Player points + assists + rebounds - H. Barnes 18+ (Match),San Antonio Spurs,17.5,2.05,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Harrison Barnes,Player points + assists + rebounds - H. Barnes 20+ (Match),San Antonio Spurs,19.5,2.8,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Harrison Barnes,Player points + assists + rebounds - H. Barnes 22+ (Match),San Antonio Spurs,21.5,3.8,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaylen Wells,Player points + assists + rebounds - Jaylen Wells 12+ (Match),Memphis Grizzlies,11.5,1.2,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaylen Wells,Player points + assists + rebounds - Jaylen Wells 14+ (Match),Memphis Grizzlies,13.5,1.38,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaylen Wells,Player points + assists + rebounds - Jaylen Wells 16+ (Match),Memphis Grizzlies,15.5,1.69,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaylen Wells,Player points + assists + rebounds - Jaylen Wells 18+ (Match),Memphis Grizzlies,17.5,2.2,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaylen Wells,Player points + assists + rebounds - Jaylen Wells 20+ (Match),Memphis Grizzlies,19.5,2.9,Betr,San Antonio Spurs,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,Player points + assists + rebounds - Stephon Castle 15+ (Match),San Antonio Spurs,14.5,1.19,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,Player points + assists + rebounds - Stephon Castle 20+ (Match),San Antonio Spurs,19.5,1.8,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,Player points + assists + rebounds - Stephon Castle 25+ (Match),San Antonio Spurs,24.5,3.7,Betr,Memphis Grizzlies,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,Player points + assists + rebounds - Stephon Castle 30+ (Match),San Antonio Spurs,29.5,9,Betr,Memphis Grizzlies,NA
